name,hexWidth,hexHeight,cells,boardState,encounterDefBytes,encounterDefCount
ch1_main_quest_04_pagras_01,16,20,320,111,12368,1
ch1_main_quest_04_pagras_02,16,20,320,148,12408,1
ch1_main_quest_04_pagras_03,16,20,320,140,14384,1
combat_21_new,16,20,320,230,19244,1
combat_allthatglitters,16,20,320,269,19400,1
combat_animatedpropsforesttesting,16,20,320,198,12164,1
combat_animatedpropstesting,16,20,320,244,14652,1
combat_animatedproptests,16,20,320,275,20708,1
combat_arachnidpit,16,20,320,247,28236,1
combat_arachnospit,16,20,320,266,23936,1
combat_arborealmadness,16,20,320,265,18588,1
combat_arena_mockup1,20,24,480,373,49168,1
combat_arena_mockup2,20,24,480,358,46992,1
combat_arena_mockup3,20,24,480,338,49240,1
combat_asdarknessfalls,16,20,320,262,17744,1
combat_ashervancentinels,16,20,320,269,13172,1
combat_ashervanished,16,20,320,257,15232,1
combat_asteriskobelisk,16,20,320,252,18724,1
combat_banditambush,16,20,320,171,14908,1
combat_banditbbq,16,20,320,203,13708,1
combat_banditlineup,16,20,320,226,18000,1
combat_bandittoll,16,20,320,186,11364,1
combat_barkingbark,16,20,320,243,17976,1
combat_beatingaroundbushes,16,20,320,246,15228,1
combat_bestfiendsforever,16,20,320,224,15884,1
combat_blank,16,20,320,137,1128,1
combat_blank 1,16,20,320,230,13252,1
combat_blazingidols,16,20,320,243,13740,1
combat_blightanddarkness,16,20,320,257,19328,1
combat_bonevoyage,16,20,320,237,18428,1
combat_bookworms,16,20,320,246,25408,1
combat_boombbq,16,20,320,256,17884,1
combat_boredashell,16,20,320,223,16980,1
combat_bouldervalley,16,20,320,277,16728,1
combat_bridge,16,20,320,217,2084,1
combat_brokenbridge,16,20,320,237,9884,1
combat_burningbridges,16,20,320,240,16640,1
combat_camp,16,20,320,229,14628,1
combat_caravanescort,16,20,320,175,17328,1
combat_cave_spiders_tiletest_thony,16,20,320,194,18884,1
combat_cavewolves,16,20,320,208,15064,1
combat_chilledstockade,16,20,320,267,28476,1
combat_chilltownrecovery,16,20,320,299,17616,1
combat_cliffhanger,16,20,320,289,19856,1
combat_clip1,16,20,320,287,20096,1
combat_clip11,16,20,320,225,20400,1
combat_clip13,16,20,320,234,16124,1
combat_clip15_1,16,20,320,288,19616,1
combat_clip15_2,16,20,320,276,19796,1
combat_clip16,16,20,320,261,19144,1
combat_clip19,16,20,320,302,20924,1
combat_clip20,16,20,320,266,15716,1
combat_clip21,16,20,320,228,20412,1
combat_clip21_new2,16,20,320,232,18268,1
combat_clip3,16,20,320,253,33560,1
combat_clip5_1,16,20,320,249,21520,1
combat_clip7,16,20,320,304,23516,1
combat_clip7_2,16,20,320,237,10060,1
combat_clip9,16,20,320,237,9996,1
combat_cloverleafglade,16,20,320,250,14580,1
combat_coldbrood,16,20,320,269,26716,1
combat_coldopen,16,20,320,295,19172,1
combat_coliseum,16,20,320,243,15492,1
combat_coliseumboss,16,20,320,243,17288,1
combat_coliseumquest,16,20,320,243,13452,1
combat_covertest,16,20,320,212,13392,1
combat_covertest2,16,20,320,222,15100,1
combat_creakingwoods,16,20,320,246,16776,1
combat_creektrail,16,20,320,282,19048,1
combat_creektrail2,16,20,320,277,14516,1
combat_creektrail3,16,20,320,277,14524,1
combat_creepycanopies,16,20,320,236,12792,1
combat_crossfire,16,20,320,220,17308,1
combat_crystalforest,16,20,320,300,16684,1
combat_crystalgrotto,16,20,320,290,18056,1
combat_crystalizedbrook,16,20,320,300,16684,1
combat_cultandorcs,16,20,320,241,20304,1
combat_cultistgathering,16,20,320,291,16328,1
combat_cultobelisk,16,20,320,188,15836,1
combat_cultobeliskinauguration,16,20,320,210,15280,1
combat_cultobeliskmass,16,20,320,198,18812,1
combat_cultobeliskorcs,16,20,320,196,16120,1
combat_cultobeliskplotting,16,20,320,192,15060,1
combat_cultobeliskritual,16,20,320,184,15248,1
combat_cultobelisksacrifice,16,20,320,183,15232,1
combat_cultobeliskworship,16,20,320,188,14644,1
combat_cultritual,16,20,320,228,23260,1
combat_damppassage,16,20,320,266,16600,1
combat_dancingwithwulves,16,20,320,213,12644,1
combat_darkambush,16,20,320,169,11488,1
combat_darkambush1,16,20,320,169,11388,1
combat_darkambush2,16,20,320,169,11488,1
combat_darkambush3,16,20,320,169,11572,1
combat_darkambush4,16,20,320,206,13288,1
combat_darkambush5,16,20,320,206,13156,1
